"REF_DATE","GEO","DGUID","North American Industry Classification System (NAICS)","Summary statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2015","Yukon","2016A000260","Automotive equipment rental and leasing [5321]","Operating revenue","Dollars","81","millions","6","v116891086","12.1.1","","x","","","1"
"2015","Yukon","2016A000260","Automotive equipment rental and leasing [5321]","Operating expenses","Dollars","81","millions","6","v116891087","12.1.2","","x","","","1"
"2015","Yukon","2016A000260","Automotive equipment rental and leasing [5321]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v116891088","12.1.3","","x","","","1"
"2015","Yukon","2016A000260","Automotive equipment rental and leasing [5321]","Operating profit margin","Percent","239","units ","0","v116891089","12.1.4","","x","","","1"
"2015","Northwest Territories","2016A000261","Automotive equipment rental and leasing [5321]","Operating revenue","Dollars","81","millions","6","v116891090","13.1.1","","x","","","1"
"2015","Northwest Territories","2016A000261","Automotive equipment rental and leasing [5321]","Operating expenses","Dollars","81","millions","6","v116891091","13.1.2","","x","","","1"
"2015","Northwest Territories","2016A000261","Automotive equipment rental and leasing [5321]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v116891092","13.1.3","","x","","","1"
"2015","Northwest Territories","2016A000261","Automotive equipment rental and leasing [5321]","Operating profit margin","Percent","239","units ","0","v116891093","13.1.4","","x","","","1"
"2015","Nunavut","2016A000262","Automotive equipment rental and leasing [5321]","Operating revenue","Dollars","81","millions","6","v116891094","14.1.1","","x","","","1"
"2015","Nunavut","2016A000262","Automotive equipment rental and leasing [5321]","Operating expenses","Dollars","81","millions","6","v116891095","14.1.2","","x","","","1"
"2015","Nunavut","2016A000262","Automotive equipment rental and leasing [5321]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v116891096","14.1.3","","x","","","1"
"2015","Nunavut","2016A000262","Automotive equipment rental and leasing [5321]","Operating profit margin","Percent","239","units ","0","v116891097","14.1.4","","x","","","1"
"2016","Canada","2016A000011124","Automotive equipment rental and leasing [5321]","Operating revenue","Dollars","81","millions","6","v96596660","1.1.1","6248.8","","","","1"
"2016","Canada","2016A000011124","Automotive equipment rental and leasing [5321]","Operating expenses","Dollars","81","millions","6","v96596661","1.1.2","5464.6","","","","1"
"2016","Canada","2016A000011124","Automotive equipment rental and leasing [5321]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v96596662","1.1.3","1057.6","","","","1"
"2016","Canada","2016A000011124","Automotive equipment rental and leasing [5321]","Operating profit margin","Percent","239","units ","0","v96596663","1.1.4","12.6","","","","1"
"2016","Newfoundland and Labrador","2016A000210","Automotive equipment rental and leasing [5321]","Operating revenue","Dollars","81","millions","6","v116891046","2.1.1","71.8","","","","1"
"2016","Newfoundland and Labrador","2016A000210","Automotive equipment rental and leasing [5321]","Operating expenses","Dollars","81","millions","6","v116891047","2.1.2","59.8","","","","1"
"2016","Newfoundland and Labrador","2016A000210","Automotive equipment rental and leasing [5321]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v116891048","2.1.3","13.9","","","","1"
"2016","Newfoundland and Labrador","2016A000210","Automotive equipment rental and leasing [5321]","Operating profit margin","Percent","239","units ","0","v116891049","2.1.4","16.7","","","","1"
"2016","Prince Edward Island","2016A000211","Automotive equipment rental and leasing [5321]","Operating revenue","Dollars","81","millions","6","v116891050","3.1.1","9.8","","","","1"
"2016","Prince Edward Island","2016A000211","Automotive equipment rental and leasing [5321]","Operating expenses","Dollars","81","millions","6","v116891051","3.1.2","8.3","","","","1"
"2016","Prince Edward Island","2016A000211","Automotive equipment rental and leasing [5321]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v116891052","3.1.3","2.0","","","","1"
"2016","Prince Edward Island","2016A000211","Automotive equipment rental and leasing [5321]","Operating profit margin","Percent","239","units ","0","v116891053","3.1.4","15.0","","","","1"
"2016","Nova Scotia","2016A000212","Automotive equipment rental and leasing [5321]","Operating revenue","Dollars","81","millions","6","v116891054","4.1.1","123.3","","","","1"
"2016","Nova Scotia","2016A000212","Automotive equipment rental and leasing [5321]","Operating expenses","Dollars","81","millions","6","v116891055","4.1.2","103.2","","","","1"
"2016","Nova Scotia","2016A000212","Automotive equipment rental and leasing [5321]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v116891056","4.1.3","23.2","","","","1"
"2016","Nova Scotia","2016A000212","Automotive equipment rental and leasing [5321]","Operating profit margin","Percent","239","units ","0","v116891057","4.1.4","16.3","","","","1"
"2016","New Brunswick","2016A000213","Automotive equipment rental and leasing [5321]","Operating revenue","Dollars","81","millions","6","v116891058","5.1.1","133.3","","","","1"
"2016","New Brunswick","2016A000213","Automotive equipment rental and leasing [5321]","Operating expenses","Dollars","81","millions","6","v116891059","5.1.2","112.6","","","","1"
"2016","New Brunswick","2016A000213","Automotive equipment rental and leasing [5321]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v116891060","5.1.3","21.4","","","","1"
"2016","New Brunswick","2016A000213","Automotive equipment rental and leasing [5321]","Operating profit margin","Percent","239","units ","0","v116891061","5.1.4","15.5","","","","1"
"2016","Quebec","2016A000224","Automotive equipment rental and leasing [5321]","Operating revenue","Dollars","81","millions","6","v116891062","6.1.1","1186.8","","","","1"
"2016","Quebec","2016A000224","Automotive equipment rental and leasing [5321]","Operating expenses","Dollars","81","millions","6","v116891063","6.1.2","1107.6","","","","1"
"2016","Quebec","2016A000224","Automotive equipment rental and leasing [5321]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v116891064","6.1.3","221.5","","","","1"
"2016","Quebec","2016A000224","Automotive equipment rental and leasing [5321]","Operating profit margin","Percent","239","units ","0","v116891065","6.1.4","6.7","","","","1"
"2016","Ontario","2016A000235","Automotive equipment rental and leasing [5321]","Operating revenue","Dollars","81","millions","6","v116891066","7.1.1","2489.2","","","","1"
"2016","Ontario","2016A000235","Automotive equipment rental and leasing [5321]","Operating expenses","Dollars","81","millions","6","v116891067","7.1.2","2131.4","","","","1"
